case,mode,verdict,actual_tier,actual_strategy,actual_status,suggested_expected_tier,suggested_expected_strategy,suggested_expected_status,human_verdict,human_expected_tier,human_expected_strategy,human_expected_status,human_notes,side_by_side_path,metrics_path
page_000_region_000_sfx,conservative,UNLABELED,3,skip,skipped_sfx_default_policy,3,skip,skipped_sfx_default_policy,,,,,,C:\Users\zaina\Downloads\ManhwaTranslator\manhwaLocaliser\debug_cleanup_cases\batch_review_source_naver_comic_849611_chapters\page_000_region_000_sfx\output\conservative\side_by_side.png,C:\Users\zaina\Downloads\ManhwaTranslator\manhwaLocaliser\debug_cleanup_cases\batch_review_source_naver_comic_849611_chapters\page_000_region_000_sfx\output\conservative\metrics.json
page_000_region_000_sfx,balanced,UNLABELED,3,skip,skipped_sfx_default_policy,3,skip,skipped_sfx_default_policy,,,,,,C:\Users\zaina\Downloads\ManhwaTranslator\manhwaLocaliser\debug_cleanup_cases\batch_review_source_naver_comic_849611_chapters\page_000_region_000_sfx\output\balanced\side_by_side.png,C:\Users\zaina\Downloads\ManhwaTranslator\manhwaLocaliser\debug_cleanup_cases\batch_review_source_naver_comic_849611_chapters\page_000_region_000_sfx\output\balanced\metrics.json
page_000_region_000_sfx,aggressive,UNLABELED,3,skip,skipped_sfx_default_policy,3,skip,skipped_sfx_default_policy,,,,,,C:\Users\zaina\Downloads\ManhwaTranslator\manhwaLocaliser\debug_cleanup_cases\batch_review_source_naver_comic_849611_chapters\page_000_region_000_sfx\output\aggressive\side_by_side.png,C:\Users\zaina\Downloads\ManhwaTranslator\manhwaLocaliser\debug_cleanup_cases\batch_review_source_naver_comic_849611_chapters\page_000_region_000_sfx\output\aggressive\metrics.json
page_000_region_001_sfx,conservative,UNLABELED,3,skip,skipped_sfx_default_policy,3,skip,skipped_sfx_default_policy,,,,,,C:\Users\zaina\Downloads\ManhwaTranslator\manhwaLocaliser\debug_cleanup_cases\batch_review_source_naver_comic_849611_chapters\page_000_region_001_sfx\output\conservative\side_by_side.png,C:\Users\zaina\Downloads\ManhwaTranslator\manhwaLocaliser\debug_cleanup_cases\batch_review_source_naver_comic_849611_chapters\page_000_region_001_sfx\output\conservative\metrics.json
page_000_region_001_sfx,balanced,UNLABELED,3,skip,skipped_sfx_default_policy,3,skip,skipped_sfx_default_policy,,,,,,C:\Users\zaina\Downloads\ManhwaTranslator\manhwaLocaliser\debug_cleanup_cases\batch_review_source_naver_comic_849611_chapters\page_000_region_001_sfx\output\balanced\side_by_side.png,C:\Users\zaina\Downloads\ManhwaTranslator\manhwaLocaliser\debug_cleanup_cases\batch_review_source_naver_comic_849611_chapters\page_000_region_001_sfx\output\balanced\metrics.json
page_000_region_001_sfx,aggressive,UNLABELED,3,skip,skipped_sfx_default_policy,3,skip,skipped_sfx_default_policy,,,,,,C:\Users\zaina\Downloads\ManhwaTranslator\manhwaLocaliser\debug_cleanup_cases\batch_review_source_naver_comic_849611_chapters\page_000_region_001_sfx\output\aggressive\side_by_side.png,C:\Users\zaina\Downloads\ManhwaTranslator\manhwaLocaliser\debug_cleanup_cases\batch_review_source_naver_comic_849611_chapters\page_000_region_001_sfx\output\aggressive\metrics.json
page_000_region_002_sfx,conservative,UNLABELED,3,skip,skipped_sfx_default_policy,3,skip,skipped_sfx_default_policy,,,,,,C:\Users\zaina\Downloads\ManhwaTranslator\manhwaLocaliser\debug_cleanup_cases\batch_review_source_naver_comic_849611_chapters\page_000_region_002_sfx\output\conservative\side_by_side.png,C:\Users\zaina\Downloads\ManhwaTranslator\manhwaLocaliser\debug_cleanup_cases\batch_review_source_naver_comic_849611_chapters\page_000_region_002_sfx\output\conservative\metrics.json
page_000_region_002_sfx,balanced,UNLABELED,3,skip,skipped_sfx_default_policy,3,skip,skipped_sfx_default_policy,,,,,,C:\Users\zaina\Downloads\ManhwaTranslator\manhwaLocaliser\debug_cleanup_cases\batch_review_source_naver_comic_849611_chapters\page_000_region_002_sfx\output\balanced\side_by_side.png,C:\Users\zaina\Downloads\ManhwaTranslator\manhwaLocaliser\debug_cleanup_cases\batch_review_source_naver_comic_849611_chapters\page_000_region_002_sfx\output\balanced\metrics.json
page_000_region_002_sfx,aggressive,UNLABELED,3,skip,skipped_sfx_default_policy,3,skip,skipped_sfx_default_policy,,,,,,C:\Users\zaina\Downloads\ManhwaTranslator\manhwaLocaliser\debug_cleanup_cases\batch_review_source_naver_comic_849611_chapters\page_000_region_002_sfx\output\aggressive\side_by_side.png,C:\Users\zaina\Downloads\ManhwaTranslator\manhwaLocaliser\debug_cleanup_cases\batch_review_source_naver_comic_849611_chapters\page_000_region_002_sfx\output\aggressive\metrics.json
page_000_region_003_speech_bubble,conservative,UNLABELED,3,skip,skipped_large_mask,3,skip,skipped_large_mask,,,,,,C:\Users\zaina\Downloads\ManhwaTranslator\manhwaLocaliser\debug_cleanup_cases\batch_review_source_naver_comic_849611_chapters\page_000_region_003_speech_bubble\output\conservative\side_by_side.png,C:\Users\zaina\Downloads\ManhwaTranslator\manhwaLocaliser\debug_cleanup_cases\batch_review_source_naver_comic_849611_chapters\page_000_region_003_speech_bubble\output\conservative\metrics.json
page_000_region_003_speech_bubble,balanced,UNLABELED,2,flat_fill,auto_cautious_cleaned_review,2,flat_fill,auto_cautious_cleaned_review,,,,,,C:\Users\zaina\Downloads\ManhwaTranslator\manhwaLocaliser\debug_cleanup_cases\batch_review_source_naver_comic_849611_chapters\page_000_region_003_speech_bubble\output\balanced\side_by_side.png,C:\Users\zaina\Downloads\ManhwaTranslator\manhwaLocaliser\debug_cleanup_cases\batch_review_source_naver_comic_849611_chapters\page_000_region_003_speech_bubble\output\balanced\metrics.json
page_000_region_003_speech_bubble,aggressive,UNLABELED,2,flat_fill,auto_cautious_cleaned_review,2,flat_fill,auto_cautious_cleaned_review,,,,,,C:\Users\zaina\Downloads\ManhwaTranslator\manhwaLocaliser\debug_cleanup_cases\batch_review_source_naver_comic_849611_chapters\page_000_region_003_speech_bubble\output\aggressive\side_by_side.png,C:\Users\zaina\Downloads\ManhwaTranslator\manhwaLocaliser\debug_cleanup_cases\batch_review_source_naver_comic_849611_chapters\page_000_region_003_speech_bubble\output\aggressive\metrics.json
